CHAMPION,kda,wr
Aatrox,2.0622612425440656,50.81125248044823
Ahri,2.651665351764827,50.30070163715335
Akali,2.13230059428327,46.73285811269518
Akshan,2.128499659846146,44.23242221076156
Alistar,2.575219962498197,49.24437133751414
Amumu,2.3576165912201286,45.956112852664575
Anivia,2.4857257605676226,51.074718526100305
Annie,2.4358959436652508,52.63157894736842
Aphelios,2.1415952924958197,48.951149425287355
Ashe,2.5227715781233213,51.415809876959386
AurelionSol,2.6900240122244052,52.15617715617715
Azir,2.2185017026106695,48.980606663351566
Bard,3.159602601672504,52.185759981044896
Blitzcrank,2.4809861291123183,50.992963252541045
Brand,1.829693954978501,50.36089238845144
Braum,2.921806433779068,49.37140804597701
Caitlyn,2.3263371699390656,48.90678941311853
Camille,2.0954024544306082,52.31178143157374
Cassiopeia,2.022216464796943,50.542215336948104
Chogath,2.1902419719583897,48.29712272460364
Corki,2.4121137844288203,51.42957995058243
Darius,1.9868289904599175,50.47448063606053
Diana,2.3766825114072607,48.06927727247971
DrMundo,2.2741175802973554,48.878116343490305
Draven,2.1568227424749162,50.48902195608782
Ekko,2.6517100188586284,50.805760329161664
Elise,2.595695399636532,49.508320726172464
Evelynn,2.9400067408156385,49.06195806400756
Ezreal,2.5778490623986894,49.461615710778844
FiddleSticks,2.7960191647935644,51.46469318532223
Fiora,1.8274524565480672,52.23336371923427
Fizz,2.4913774285090593,50.500715307582254
Galio,2.7798640915593706,50.98778268780868
Gangplank,2.1669243744728703,48.607736871612786
Garen,2.0796237613802124,48.877245508982035
Gnar,2.0348093833990033,48.05605165544718
Gragas,2.5387173919019212,48.096983366224975
Graves,2.4688055030870286,49.06841668552463
Gwen,1.8402047244094488,47.85766158315178
Hecarim,2.95038202247191,48.956182610690526
Heimerdinger,2.090325282702778,53.78816434225405
Illaoi,1.5718777635845533,49.88452655889146
Irelia,1.6615080924954282,48.512690938325484
Ivern,3.6358305233836683,49.82078853046595
Janna,3.1202388740002953,51.99665481915115
JarvanIV,3.2260561248756865,50.01183431952663
Jax,1.7228343890665418,51.11034403405822
Jayce,1.8127131122132671,47.357867421561686
Jhin,2.8896856326318523,49.916269483447124
Jinx,2.5043180791325113,50.97380792478173
Kaisa,2.5318561633565517,48.92825509300266
Kalista,2.303664372794914,47.86609240407204
Karma,2.819470662262073,48.56884603796324
Karthus,2.471299553189467,51.85233160621762
Kassadin,2.5820769447359666,51.26326427488631
Katarina,2.417051999675509,51.71536441234406
Kayle,2.0259212991880076,50.966316951960245
Kayn,2.6115827466131205,50.68990559186638
Kennen,2.132343071898349,50.37243947858473
Khazix,2.649239190254496,50.93498846184451
Kindred,2.4201394134277145,51.08737123235406
Kled,2.373911802483231,51.864062896271875
KogMaw,2.2824819444777695,51.32096683530073
Leblanc,2.966846550347264,50.54676717273596
LeeSin,2.8497089224189143,50.92807804367041
Leona,2.442175097737235,50.38791067934966
Lillia,2.6312462144155058,48.221105527638194
Lissandra,2.4158596562389087,51.44298122723452
Lucian,2.0095637758946476,46.210013908205845
Lulu,3.2071137865864023,50.715869203768705
Lux,2.731923368740516,49.30847249257248
Malphite,2.4022919865779446,49.104929771412834
Malzahar,2.225415425021466,50.86021505376343
Maokai,2.243725935890894,49.69504110315566
MasterYi,2.1396659424225963,48.494623655913976
MissFortune,2.3638516443199253,49.81901314536102
MonkeyKing,2.292871765261666,51.59117918922488
Mordekaiser,1.7526032584325644,48.67702041990222
Morgana,2.6755262087078755,49.163879598662206
Nami,3.2269002461271175,51.77220821592763
Nasus,1.9051930603423097,48.7284419760304
Nautilus,2.3547694070466916,49.915314043754414
Neeko,2.19746835443038,51.369257950530034
Nidalee,3.095827012572957,49.97036861443641
Nocturne,2.6196172712643233,52.470241230380275
Nunu,3.0546096563297556,50.48033351459126
Olaf,2.45285446888161,49.50601374570447
Orianna,2.665963789718607,48.472941596713696
Ornn,2.439610242465443,49.782229965156795
Pantheon,2.151817357619715,48.66412213740458
Poppy,2.445868699116577,49.314462627156125
Pyke,2.268547367122189,49.52981192476991
Qiyana,2.1644340369847446,51.02085380500054
Quinn,1.9497518610421836,51.50697255960414
Rakan,3.0949783906153527,50.733137829912025
Rammus,2.9580935701776334,50.14836795252226
RekSai,2.6602253819391923,52.52188411838266
Rell,2.4018149169499132,50.63731170336037
Renekton,1.9613216126098818,48.77944325481799
Rengar,2.2783636944710772,49.21271997530102
Riven,2.0386998881967737,52.45309609794768
Rumble,2.6329010542988667,48.50484913793103
Ryze,2.124488855612509,48.099891422366994
Samira,2.2934444404706555,49.76048345493404
Sejuani,3.088816738816739,48.57142857142857
Senna,2.7414532390775292,49.43109987357775
Seraphine,2.792647935608884,50.27233635929288
Sett,1.9051224830499813,49.70212765957447
Shaco,2.7051594402880488,50.07910429597177
Shen,2.912214560118352,51.53640614562458
Shyvana,2.570204664445502,47.98311444652908
Singed,2.2232743583354098,50.407885791978245
Sion,1.9807875982661083,49.88428361035135
Sivir,2.606429721146735,49.93128721942281
Skarner,2.912876052948255,51.04856512141281
Sona,3.0805678947826842,52.232746955345064
Soraka,2.891595537227071,50.80593165699548
Swain,2.451397163393166,51.655138339920946
Sylas,2.127615326973756,50.20037538680059
Syndra,2.1911285827441547,47.60188087774295
TahmKench,2.5350294042444386,49.65001206854936
Taliyah,2.6848892803220936,50.83422080227192
Talon,2.4063014080579954,52.836252611280734
Taric,2.7960705133183197,50.22276225192386
Teemo,1.733938457576928,47.116516280894466
Thresh,2.781935213041349,51.06504157648934
Tristana,2.4675931647361504,51.07888631090487
Trundle,2.658801765545891,50.20940721649485
Tryndamere,1.9366510249444306,49.68763015410246
TwistedFate,2.41834484254673,49.26800702713254
Twitch,2.3810663244219183,49.673747049840344
Udyr,2.9782357695416235,49.41296579887698
Urgot,2.0306616921823406,49.81481481481482
Varus,2.408317734190608,48.309568648551696
Vayne,2.1327704766220714,51.32502831257079
Veigar,2.3734750235956232,50.74540174249758
Velkoz,2.467496542185339,50.33821871476888
Vi,2.4371534195933457,49.74012474012474
Viego,2.4142681906433032,49.08206633659028
Viktor,2.350971028334925,50.211313394018205
Vladimir,2.3999806935830295,50.48342541436463
Volibear,2.3519755418378674,48.58213489973669
Warwick,2.2059773439382986,49.82404692082111
Xayah,2.3778534578682944,48.026315789473685
Xerath,2.8425808631027785,49.6588001137333
XinZhao,2.5382338815405183,51.869731248649046
Yasuo,1.8513347547136443,50.43461829176115
Yone,1.901733687359581,48.7908144958737
Yorick,1.6264423076923078,46.650998824911866
Yuumi,4.286642699115045,49.761746788105434
Zac,3.56266318537859,52.0048602673147
Zed,2.277547984707525,49.523809523809526
Ziggs,2.495315080399826,51.38417574566887
Zilean,3.223616938753923,52.752818166966186
Zoe,2.6175577865981787,49.79031643156691
Zyra,2.1702789014264425,49.89183342347215
